dimension,steps,h,epsilon,h1_error,mean_norm_sq,variance,kl_target_to_euler,current_factor,prior_factor
1,8,0.125,0.0,0.0,0.0,1.0587955275319167,0.0008006946804067459,20.595917942265423,526
1,8,0.125,0.02,0.0004,0.00017233970216384622,1.0587955275319167,0.0008820794698596555,20.595917942265423,526
1,8,0.125,0.04,0.0016,0.0006893588086553849,1.0587955275319167,0.0011262338382186064,20.595917942265423,526
1,8,0.125,0.08,0.0064,0.0027574352346215396,1.0587955275319167,0.0021028513116541324,20.595917942265423,526
1,16,0.0625,0.0,0.0,0.0,1.0281681036652581,0.00019113978692511524,20.595917942265423,526
1,16,0.0625,0.02,0.0004,0.0001658562101893659,1.0281681036652581,0.0002717959605596232,20.595917942265423,526
1,16,0.0625,0.04,0.0016,0.0006634248407574636,1.0281681036652581,0.000513764481463147,20.595917942265423,526
1,16,0.0625,0.08,0.0064,0.0026536993630298543,1.0281681036652581,0.0014816385650771868,20.595917942265423,526
1,32,0.03125,0.0,0.0,0.0,1.0137923169447862,4.6695813222163464e-05,20.595917942265423,526
1,32,0.03125,0.02,0.0004,0.0001627893815863368,1.0137923169447862,0.00012698315554334708,20.595917942265423,526
1,32,0.03125,0.04,0.0016,0.0006511575263453472,1.0137923169447862,0.00036784518250695345,20.595917942265423,526
1,32,0.03125,0.08,0.0064,0.0026046301053813887,1.0137923169447862,0.001331293290361712,20.595917942265423,526
1,64,0.015625,0.0,0.0,0.0,1.0068250774576406,1.1540253858716588e-05,20.595917942265423,526
1,64,0.015625,0.02,0.0004,0.00016129684575673343,1.0068250774576406,9.164197627711855e-05,20.595917942265423,526
1,64,0.015625,0.04,0.0016,0.0006451873830269337,1.0068250774576406,0.00033194714353221343,20.595917942265423,526
1,64,0.015625,0.08,0.0064,0.002580749532107735,1.0068250774576406,0.0012931678125526484,20.595917942265423,526
1,128,0.0078125,0.0,0.0,0.0,1.003394993726862,2.868501693675373e-06,20.595917942265423,526
1,128,0.0078125,0.02,0.0004,0.00016056046712243402,1.003394993726862,8.287710654336601e-05,20.595917942265423,526
1,128,0.0078125,0.04,0.0016,0.0006422418684897361,1.003394993726862,0.0003229029210923269,20.595917942265423,526
1,128,0.0078125,0.08,0.0064,0.0025689674739589443,1.003394993726862,0.0012830061792881704,20.595917942265423,526
1,256,0.00390625,0.0,0.0,0.0,1.0016931383843208,7.150645567869816e-07,20.595917942265423,526
1,256,0.00390625,0.02,0.0004,0.00016019471033157625,1.0016931383843208,8.067703304448319e-05,20.595917942265423,526
1,256,0.00390625,0.04,0.0016,0.000640778841326305,1.0016931383843208,0.0003205629385074053,20.595917942265423,526
1,256,0.00390625,0.08,0.0064,0.00256311536530522,1.0016931383843208,0.0012801065603593158,20.595917942265423,526
1,512,0.001953125,0.0,0.0,0.0,1.0008454830200706,1.7850911365448413e-07,20.595917942265423,526
1,512,0.001953125,0.02,0.0004,0.00016001243518346978,1.0008454830200706,8.01171399503723e-05,20.595917942265423,526
1,512,0.001953125,0.04,0.0016,0.0006400497407338791,1.0008454830200706,0.00031993303246052575,20.595917942265423,526
1,512,0.001953125,0.08,0.0064,0.0025601989629355166,1.0008454830200706,0.0012791966025011395,20.595917942265423,526
2,8,0.125,0.0,0.0,0.0,1.0587955275319167,0.0016013893608134919,95.63560920082658,1936
2,8,0.125,0.02,0.0004,0.00017233970216384622,1.0587955275319167,0.001682774150266457,95.63560920082658,1936
2,8,0.125,0.04,0.0016,0.0006893588086553849,1.0587955275319167,0.0019269285186252413,95.63560920082658,1936
2,8,0.125,0.08,0.0064,0.0027574352346215396,1.0587955275319167,0.002903545992060934,95.63560920082658,1936
