dimension,delta,normalized_tolerance,uniform_required_steps,nonuniform_half_steps_M,nonuniform_total_steps,uniform_to_nonuniform_work_ratio,uniform_bound_coefficient,nonuniform_log_coefficient,nonuniform_regular_coefficient
1,0.25,0.05,7084,181,683,10.371888726207906,266.2469507659596,1.3862943611198906,11.246950765959598
1,0.125,0.05,101563,187,965,105.24663212435233,4106.24695076596,2.0794415416798357,11.246950765959598
1,0.0625,0.05,1531941,194,1270,1206.2527559055118,65546.24695076596,2.772588722239781,11.246950765959598
1,0.03125,0.05,23485259,201,1595,14724.300313479624,1048586.246950766,3.4657359027997265,11.246950765959598
1,0.015625,0.05,364094023,208,1939,187774.12222795255,16777226.246950764,4.1588830833596715,11.246950765959598
1,0.0078125,0.05,5692642667,214,2291,2484785.101265823,268435466.24695075,4.852030263919617,11.246950765959598
1,0.00390625,0.05,89571901760,221,2672,33522418.323353294,4294967306.246951,5.545177444479562,11.246950765959598
1,0.001953125,0.05,1416002325790,228,3073,460788260.9144159,68719476746.24695,6.238324625039508,11.246950765959598
1,0.0009765625,0.05,22461535217657,234,3478,6458175738.256757,1099511627786.247,6.931471805599453,11.246950765959598
8,0.25,0.05,6866,58,219,31.35159817351598,131999.44811175612,709.782712893384,1439.448111756124
8,0.125,0.05,101359,65,336,301.6636904761905,2098079.4481117562,1064.674069340076,1439.448111756124
8,0.0625,0.05,1531747,71,465,3294.079569892473,33555359.44811176,1419.565425786768,1439.448111756124
8,0.03125,0.05,23485073,78,619,37940.34410339257,536871839.4481118,1774.45678223346,1439.448111756124
8,0.015625,0.05,364093841,85,793,459134.7301387137,8589935519.448112,2129.348138680152,1439.448111756124
8,0.0078125,0.05,5692642489,92,985,5779332.476142132,137438954399.44812,2484.239495126844,1439.448111756124
8,0.00390625,0.05,89571901585,99,1197,74830327.13868004,2199023256479.448,2839.130851573536,1439.448111756124
8,0.001953125,0.05,1416002325616,105,1416,1000001642.3841808,35184372089759.445,3194.022208020228,1439.448111756124
8,0.0009765625,0.05,22461535217485,112,1665,13490411542.033033,562949953422239.5,3548.91356446692,1439.448111756124
64,0.25,0.05,6847,47,178,38.46629213483146,67395839.88581622,363408.7490014126,549119.8858162127
64,0.125,0.05,101342,54,279,363.23297491039426,1074028799.885816,545113.1235021189,549119.8858162127
64,0.0625,0.05,1531731,61,400,3829.3275,17180156159.885815,726817.4980028252,549119.8858162127
64,0.03125,0.05,23485057,67,532,44144.843984962405,274878193919.8858,908521.8725035315,549119.8858162127
64,0.015625,0.05,364093826,74,690,527672.2115942029,4398046798079.886,1090226.2470042377,549119.8858162127
64,0.0078125,0.05,5692642474,81,868,6558343.864055299,70368744464639.89,1271930.621504944,549119.8858162127
64,0.00390625,0.05,89571901570,88,1064,84184118.01691729,1125899907129600.0,1453634.9960056504,549119.8858162127
64,0.001953125,0.05,1416002325602,95,1281,1105388232.3200624,1.801439850976896e+16,1635339.3705063567,549119.8858162127
64,0.0009765625,0.05,22461535217470,102,1517,14806549253.441002,2.882303761519987e+17,1817043.745007063,549119.8858162127
256,0.25,0.05,6845,46,174,39.339080459770116,4312138751.969467,23258159.936090406,33948671.96946747
256,0.125,0.05,101340,53,274,369.8540145985401,68736648191.96947,34887239.90413561,33948671.96946747
256,0.0625,0.05,1531729,60,393,3897.529262086514,1099528799231.9695,46516319.87218081,33948671.96946747
256,0.03125,0.05,23485055,66,524,44818.807251908394,17592203215871.97,58145399.84022602,33948671.96946747
256,0.015625,0.05,364093824,73,681,534645.8502202643,281474993882112.0,69774479.80827121,33948671.96946747
256,0.0078125,0.05,5692642472,80,857,6642523.304550759,4503599644541952.0,81403559.77631642,33948671.96946747
256,0.00390625,0.05,89571901569,87,1052,85144393.12642586,7.20575940550994e+16,93032639.74436162,33948671.96946747
256,0.001953125,0.05,1416002325600,94,1267,1117602466.9297552,1.1529215046240184e+18,104661719.71240683,33948671.96946747
256,0.0009765625,0.05,22461535217469,100,1487,15105269144.22932,1.844674407372672e+19,116290799.68045203,33948671.96946747
