dimension,requested_delta,kl_tolerance_per_dimension,uniform_first_hit_steps,uniform_first_hit_kl,uniform_previous_kl,nonuniform_first_hit_half_steps,nonuniform_first_hit_total_steps,nonuniform_first_hit_kl,nonuniform_previous_kl,achieved_delta,uniform_to_nonuniform_work_ratio
1,0.125,0.001,58,0.0009980456910371957,0.0010332183474775491,8,31,0.0009172358154069422,0.001187972538519426,0.12399506874691113,1.8709677419354838
1,0.125,0.0001,184,9.961058487182109e-05,0.00010070139988646934,25,95,9.799089217779958e-05,0.00010624110650404861,0.12501380706089715,1.936842105263158
1,0.03125,0.001,249,0.0009937680398383886,0.0010017702523848135,8,54,0.0009044763876875916,0.0011690390328314565,0.03074955414710201,4.611111111111111
1,0.03125,0.0001,787,9.981659755761707e-05,0.0001000706265597423,25,165,9.753450705125323e-05,0.0001057242266182968,0.031256903911718426,4.7696969696969695
1,0.0078125,0.001,1007,0.0009985072940802975,0.0010004871072739896,8,77,0.0009015088103706305,0.0011645771054001192,0.007625586160813214,13.077922077922079
1,0.0078125,0.0001,3187,9.997704320597114e-05,0.00010003979178501744,25,235,9.742726184018731e-05,0.00010560140873139799,0.007815089109883044,13.561702127659574
16,0.125,0.001,58,0.01596873105659513,0.016531493559640786,8,31,0.014675773046511076,0.019007560616310815,0.12399506874691113,1.8709677419354838
16,0.125,0.0001,184,0.0015937693579491374,0.0016112223981835094,25,95,0.0015678542748447932,0.0016998577040647778,0.12501380706089715,1.936842105263158
16,0.03125,0.001,249,0.015900288637414217,0.016028324038157016,8,54,0.014471622203001466,0.018704624525303304,0.03074955414710201,4.611111111111111
16,0.03125,0.0001,787,0.0015970655609218731,0.0016011300249558769,25,165,0.0015605521128200517,0.0016915876258927487,0.031256903911718426,4.7696969696969695
16,0.0078125,0.001,1007,0.01597611670528476,0.016007793716383834,8,77,0.014424140965930088,0.018633233686401907,0.007625586160813214,13.077922077922079
16,0.0078125,0.0001,3187,0.0015996326912955383,0.001600636668560279,25,235,0.001558836189442997,0.0016896225397023679,0.007815089109883044,13.561702127659574
256,0.125,0.001,58,0.2554996969055221,0.2645038969542526,8,31,0.2348123687441772,0.30412096986097303,0.12399506874691113,1.8709677419354838
256,0.125,0.0001,184,0.0255003097271862,0.02577955837093615,25,95,0.02508566839751669,0.027197723265036444,0.12501380706089715,1.936842105263158
256,0.03125,0.001,249,0.2544046181986275,0.25645318461051225,8,54,0.23154595524802346,0.29927399240485286,0.03074955414710201,4.611111111111111
256,0.03125,0.0001,787,0.02555304897474997,0.02561808039929403,25,165,0.024968833805120827,0.02706540201428398,0.031256903911718426,4.7696969696969695
256,0.0078125,0.001,1007,0.25561786728455616,0.25612469946214134,8,77,0.2307862554548814,0.2981317389824305,0.007625586160813214,13.077922077922079
256,0.0078125,0.0001,3187,0.025594123060728613,0.025610186696964465,25,235,0.02494137903108795,0.027033960635237886,0.007815089109883044,13.561702127659574
