dimension,steps,h,epsilon,source_sigma,target_sigma,cross_covariance,h5_error,euler_mean_norm,euler_variance,mean_w2_component,covariance_w2_component,w2,source_score_l8,target_score_l8,joint_score_l8,source_hessian_l2,target_hessian_l2,joint_hessian_l2,source_alpha,target_alpha,lemma_joint_alpha,source_M,target_M,lemma_joint_M,H8_source,H8_target,independent_factorization
1,8,0.125,0.0,0.5,1.5,0.0,0.0,1.0000000000000002,2.192412767505261,2.220446049250313e-16,0.01932016711739437,0.01932016711739437,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,8,0.125,0.0,0.75,2.0,0.0,0.0,1.0,3.5986734802948486,0.0,0.10298300474274913,0.10298300474274913,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,8,0.125,0.0,1.0,0.75,0.0,0.0,1.0,0.6681030425294927,0.0,0.06737570463618059,0.06737570463618059,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,8,0.125,0.0,2.0,1.25,0.0,0.0,1.0,1.4574795406290415,0.0,0.042738826670450036,0.042738826670450036,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,8,0.125,0.04,0.5,1.5,0.0,0.04,1.0402119986934455,2.192412767505261,0.040211998693445494,0.01932016711739437,0.044612483638166896,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,8,0.125,0.04,0.75,2.0,0.0,0.04,1.047939814523505,3.5986734802948486,0.04793981452350504,0.10298300474274913,0.11359456449317086,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,8,0.125,0.04,1.0,0.75,0.0,0.04,1.020098061945708,0.6681030425294927,0.020098061945708068,0.06737570463618059,0.07030944224779034,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,8,0.125,0.04,2.0,1.25,0.0,0.04,1.0270681926481475,1.4574795406290415,0.027068192648147527,0.042738826670450036,0.0505894688488029,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,16,0.0625,0.0,0.5,1.5,0.0,0.0,1.0000000000000002,2.220494054070335,2.220446049250313e-16,0.00986777295760266,0.00986777295760266,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,16,0.0625,0.0,0.75,2.0,0.0,0.0,0.9999999999999998,3.7923846840797872,2.220446049250313e-16,0.0525953979514715,0.0525953979514715,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,16,0.0625,0.0,1.0,0.75,0.0,0.0,1.0,0.6122821866789071,0.0,0.032484623924909584,0.032484623924909584,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,16,0.0625,0.0,2.0,1.25,0.0,0.0,1.0,1.5065305450242437,0.0,0.022591940296853075,0.022591940296853075,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,16,0.0625,0.04,0.5,1.5,0.0,0.04,1.0403155294197441,2.220494054070335,0.040315529419744145,0.00986777295760266,0.04150560029125046,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,16,0.0625,0.04,0.75,2.0,0.0,0.04,1.0487522899326172,3.7923846840797872,0.048752289932617154,0.0525953979514715,0.07171514246899058,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,16,0.0625,0.04,1.0,0.75,0.0,0.04,1.0192804211632756,0.6122821866789071,0.019280421163275552,0.032484623924909584,0.0377754607089853,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,16,0.0625,0.04,2.0,1.25,0.0,0.04,1.0270489876897355,1.5065305450242437,0.027048987689735515,0.022591940296853075,0.03524263754908303,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,32,0.03125,0.0,0.5,1.5,0.0,0.0,0.9999999999999998,2.2350817230900857,2.220446049250313e-16,0.004981029187226094,0.004981029187226094,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,32,0.03125,0.0,0.75,2.0,0.0,0.0,1.0,3.8944041887511784,0.0,0.026575517342713573,0.026575517342713573,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,32,0.03125,0.0,1.0,0.75,0.0,0.0,1.0,0.5866477716374748,0.0,0.01592935159678721,0.01592935159678721,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,32,0.03125,0.0,2.0,1.25,0.0,0.0,0.9999999999999999,1.5336503772666594,1.1102230246251565e-16,0.01159361384614166,0.01159361384614166,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,32,0.03125,0.04,0.5,1.5,0.0,0.04,1.0403785922641986,2.2350817230900857,0.0403785922641986,0.004981029187226094,0.04068465761195978,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,32,0.03125,0.04,0.75,2.0,0.0,0.04,1.0491922911619544,3.8944041887511784,0.04919229116195445,0.026575517342713573,0.05591189168500178,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,32,0.03125,0.04,1.0,0.75,0.0,0.04,1.0188923599981703,0.5866477716374748,0.018892359998170294,0.01592935159678721,0.024711647225438702,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,32,0.03125,0.04,2.0,1.25,0.0,0.04,1.0270541687776433,1.5336503772666594,0.027054168777643328,0.01159361384614166,0.029433653022733326,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
1,64,0.015625,0.0,0.5,1.5,0.0,0.0,0.9999999999999998,2.242501076820325,2.220446049250313e-16,0.002501727273007903,0.002501727273007903,3.578315733941699,1.1927719113138995,3.609034757185814,4.0,0.4444444444444444,4.0,4.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.0,True,True,True
1,64,0.015625,0.0,0.75,2.0,0.0,0.0,1.0000000000000004,3.9467477554125905,4.440892098500626e-16,0.013357667970253173,0.013357667970253173,2.385543822627799,0.8945789334854247,2.4120730289896275,1.7777777777777777,0.25,1.7777777777777777,1.7777777777777777,0.25,0.25,0.0,0.0,0.0,True,True,True
1,64,0.015625,0.0,1.0,0.75,0.0,0.0,1.0,0.5743902322155865,0.0,0.00788536878316004,0.00788536878316004,1.7891578669708494,2.385543822627799,2.5464990785711614,1.0,1.7777777777777777,1.7777777777777777,1.0,1.7777777777777777,1.0,0.0,0.0,0.0,True,True,True
1,64,0.015625,0.0,2.0,1.25,0.0,0.0,1.0,1.5478584070439876,0.0,0.005870421923830582,0.005870421923830582,0.8945789334854247,1.4313262935766795,1.4872785572329401,0.25,0.64,0.64,0.25,0.64,0.25,0.0,0.0,0.0,True,True,True
