dimension,steps,h,delta,stopped_steps,epsilon,h1_full_horizon_error,target_variance,euler_variance,mean_norm_sq,kl_target_to_euler,conditional_score_l8_to_four,theorem_factor,h3_full_joint_holds,h4_conditional_holds
1,32,0.03125,0.0625,30,0.02,0.0004,0.12109375,0.1572039250819811,1.4319083552021079e-05,0.015683568974382944,10.246950765959598,65546.24695076596,False,True
1,32,0.03125,0.0625,30,0.08,0.0064,0.12109375,0.1572039250819811,0.00022910533683233726,0.016366714300329155,10.246950765959598,65546.24695076596,False,True
1,64,0.015625,0.375,40,0.0,0.0,0.609375,0.6230082294719597,0.0,0.00012149103002599172,10.246950765959598,60.814852000527495,False,True
1,64,0.015625,0.375,40,0.02,0.0004,0.609375,0.6230082294719597,5.557416149149703e-05,0.00016609249663794047,10.246950765959598,60.814852000527495,False,True
1,64,0.015625,0.375,40,0.08,0.0064,0.609375,0.6230082294719597,0.0008891865838639524,0.0008351144958167831,10.246950765959598,60.814852000527495,False,True
1,64,0.015625,0.25,48,0.0,0.0,0.4375,0.45246861871120353,0.0,0.0002797946959027138,10.246950765959598,266.2469507659596,False,True
1,64,0.015625,0.25,48,0.02,0.0004,0.4375,0.45246861871120353,4.970510222267234e-05,0.00033472126999777377,10.246950765959598,266.2469507659596,False,True
1,64,0.015625,0.25,48,0.08,0.0064,0.4375,0.45246861871120353,0.0007952816355627575,0.0011586198814238398,10.246950765959598,266.2469507659596,False,True
1,64,0.015625,0.125,56,0.0,0.0,0.234375,0.250403617259385,0.0,0.0010702816314562824,10.246950765959598,4106.24695076596,False,True
1,64,0.015625,0.125,56,0.02,0.0004,0.234375,0.250403617259385,2.8499816099431695e-05,0.0011271893878444517,10.246950765959598,4106.24695076596,False,True
1,64,0.015625,0.125,56,0.08,0.0064,0.234375,0.250403617259385,0.0004559970575909071,0.001980805733667157,10.246950765959598,4106.24695076596,False,True
1,64,0.015625,0.0625,60,0.0,0.0,0.12109375,0.13794387483638826,0.0,0.004064912870486867,10.246950765959598,65546.24695076596,False,True
1,64,0.015625,0.0625,60,0.02,0.0004,0.12109375,0.13794387483638826,1.309474154219245e-05,0.0041123768900300645,10.246950765959598,65546.24695076596,False,True
1,64,0.015625,0.0625,60,0.08,0.0064,0.12109375,0.13794387483638826,0.0002095158646750792,0.004824337183177749,10.246950765959598,65546.24695076596,False,True
1,128,0.0078125,0.375,80,0.0,0.0,0.609375,0.6161402549636528,0.0,3.0362873490745804e-05,10.246950765959598,60.814852000527495,False,True
1,128,0.0078125,0.375,80,0.02,0.0004,0.609375,0.6161402549636528,5.483818123034944e-05,7.48642518607779e-05,10.246950765959598,60.814852000527495,False,True
1,128,0.0078125,0.375,80,0.08,0.0064,0.609375,0.6161402549636528,0.000877410899685591,0.0007423849274120365,10.246950765959598,60.814852000527495,False,True
1,128,0.0078125,0.25,96,0.0,0.0,0.4375,0.4449043115245995,0.0,7.002101230467288e-05,10.246950765959598,266.2469507659596,False,True
1,128,0.0078125,0.25,96,0.02,0.0004,0.4375,0.4449043115245995,4.886634906076676e-05,0.0001249388314794441,10.246950765959598,266.2469507659596,False,True
1,128,0.0078125,0.25,96,0.08,0.0064,0.4375,0.4449043115245995,0.0007818615849722681,0.0009487061191010126,10.246950765959598,266.2469507659596,False,True
1,128,0.0078125,0.125,112,0.0,0.0,0.234375,0.24222774541289904,0.0,0.00026856584570314826,10.246950765959598,4106.24695076596,False,True
1,128,0.0078125,0.125,112,0.02,0.0004,0.234375,0.24222774541289904,2.774933754284395e-05,0.0003258452822424186,10.246950765959598,4106.24695076596,False,True
1,128,0.0078125,0.125,112,0.08,0.0064,0.234375,0.24222774541289904,0.0004439894006855032,0.00118503683033103,10.246950765959598,4106.24695076596,False,True
1,128,0.0078125,0.0625,120,0.0,0.0,0.12109375,0.12920016764401682,0.0,0.001027380353744535,10.246950765959598,65546.24695076596,False,True
1,128,0.0078125,0.0625,120,0.02,0.0004,0.12109375,0.12920016764401682,1.2535825786313253e-05,0.0010758935484830104,10.246950765959598,65546.24695076596,False,True
1,128,0.0078125,0.0625,120,0.08,0.0064,0.12109375,0.12920016764401682,0.00020057321258101204,0.00180359146956003,10.246950765959598,65546.24695076596,False,True
1,256,0.00390625,0.375,160,0.0,0.0,0.609375,0.6127447814139303,0.0,7.588923106772224e-06,10.246950765959598,60.814852000527495,False,True
1,256,0.00390625,0.375,160,0.02,0.0004,0.609375,0.6127447814139303,5.4474610552989135e-05,5.204022828743165e-05,10.246950765959598,60.814852000527495,False,True
1,256,0.00390625,0.375,160,0.08,0.0064,0.609375,0.6127447814139303,0.0008715937688478262,0.0007188098059975451,10.246950765959598,60.814852000527495,False,True
1,256,0.00390625,0.25,192,0.0,0.0,0.4375,0.4411821355433776,0.0,1.7511711478061798e-05,10.246950765959598,266.2469507659596,False,True
1,256,0.00390625,0.25,192,0.02,0.0004,0.4375,0.4411821355433776,4.8453628260736036e-05,7.24251183877242e-05,10.246950765959598,266.2469507659596,False,True
1,256,0.00390625,0.25,192,0.08,0.0064,0.4375,0.4411821355433776,0.0007752580521717766,0.0008961262220326602,10.246950765959598,266.2469507659596,False,True
1,256,0.00390625,0.125,224,0.0,0.0,0.234375,0.23826081753354955,0.0,6.72285786360461e-05,10.246950765959598,4106.24695076596,False,True
1,256,0.00390625,0.125,224,0.02,0.0004,0.234375,0.23826081753354955,2.738411938253027e-05,0.0001246952650723488,10.246950765959598,4106.24695076596,False,True
1,256,0.00390625,0.125,224,0.08,0.0064,0.234375,0.23826081753354955,0.0004381459101204843,0.000986695561617389,10.246950765959598,4106.24695076596,False,True
1,256,0.00390625,0.0625,240,0.0,0.0,0.12109375,0.125066038149262,0.0,0.00025766929468611435,10.246950765959598,65546.24695076596,False,True
1,256,0.00390625,0.0625,240,0.02,0.0004,0.12109375,0.125066038149262,1.2269342675867307e-05,0.00030672075125031187,10.246950765959598,65546.24695076596,False,True
1,256,0.00390625,0.0625,240,0.08,0.0064,0.12109375,0.125066038149262,0.0001963094828138769,0.001042492599713108,10.246950765959598,65546.24695076596,False,True
1,512,0.001953125,0.375,320,0.0,0.0,0.609375,0.6110566788066952,0.0,1.8969716702511331e-06,10.246950765959598,60.814852000527495,False,True
1,512,0.001953125,0.375,320,0.02,0.0004,0.609375,0.6110566788066952,5.429392275304952e-05,4.6323229197625746e-05,10.246950765959598,60.814852000527495,False,True
1,512,0.001953125,0.375,320,0.08,0.0064,0.609375,0.6110566788066952,0.0008687027640487923,0.0007127170921091886,10.246950765959598,60.814852000527495,False,True
1,512,0.001953125,0.25,384,0.0,0.0,0.4375,0.43933606141563586,0.0,4.3785752616258555e-06,10.246950765959598,266.2469507659596,False,True
1,512,0.001953125,0.25,384,0.02,0.0004,0.4375,0.43933606141563586,4.824891764684036e-05,5.928974905798287e-05,10.246950765959598,266.2469507659596,False,True
1,512,0.001953125,0.25,384,0.08,0.0064,0.4375,0.43933606141563586,0.0007719826823494458,0.0008829573560040598,10.246950765959598,266.2469507659596,False,True
1,512,0.001953125,0.125,448,0.0,0.0,0.234375,0.2363077595830982,0.0,1.6815736160665298e-05,10.246950765959598,4106.24695076596,False,True
1,512,0.001953125,0.125,448,0.02,0.0004,0.234375,0.2363077595830982,2.7203983018066968e-05,7.43762307166846e-05,10.246950765959598,4106.24695076596,False,True
1,512,0.001953125,0.125,448,0.08,0.0064,0.234375,0.2363077595830982,0.0004352637282890715,0.0009377836490573072,10.246950765959598,4106.24695076596,False,True
1,512,0.001953125,0.0625,480,0.0,0.0,0.12109375,0.12305958171962716,0.0,6.448489956777277e-05,10.246950765959598,65546.24695076596,False,True
1,512,0.001953125,0.0625,480,0.02,0.0004,0.12109375,0.12305958171962716,1.2139285666761291e-05,0.00011380769709855472,10.246950765959598,65546.24695076596,False,True
1,512,0.001953125,0.0625,480,0.08,0.0064,0.12109375,0.12305958171962716,0.00019422857066818066,0.000853649660060395,10.246950765959598,65546.24695076596,False,True
2,16,0.0625,0.375,10,0.0,0.0,0.609375,0.6663562755024419,0.0,0.0038789075762392516,19.595917942265423,443.73504576107405,False,True
2,16,0.0625,0.375,10,0.02,0.0004,0.609375,0.6663562755024419,6.024425776148664e-05,0.003924111816055273,19.595917942265423,443.73504576107405,False,True
2,16,0.0625,0.375,10,0.08,0.0064,0.609375,0.6663562755024419,0.0009639081241837863,0.004602175413295925,19.595917942265423,443.73504576107405,False,True
2,16,0.0625,0.25,12,0.0,0.0,0.4375,0.5011583446677521,0.0,0.008822984718005411,19.595917942265423,2087.191835884531,False,True
2,16,0.0625,0.25,12,0.02,0.0004,0.4375,0.5011583446677521,5.51228780194242e-05,0.008877980188604584,19.595917942265423,2087.191835884531,False,True
2,16,0.0625,0.25,12,0.08,0.0064,0.4375,0.5011583446677521,0.0008819660483107872,0.009702912247592399,19.595917942265423,2087.191835884531,False,True
2,16,0.0625,0.125,14,0.0,0.0,0.234375,0.30584514172249366,0.0,0.03247569017420049,19.595917942265423,32807.19183588453,False,True
2,16,0.0625,0.125,14,0.02,0.0004,0.234375,0.30584514172249366,3.3588660406546964e-05,0.03253060139531283,19.595917942265423,32807.19183588453,False,True
2,16,0.0625,0.125,14,0.08,0.0064,0.234375,0.30584514172249366,0.0005374185665047514,0.03335426971199862,19.595917942265423,32807.19183588453,False,True
2,16,0.0625,0.0625,15,0.0,0.0,0.12109375,0.20146128543062342,0.0,0.11010921658840567,19.595917942265423,524327.1918358846,False,True
2,16,0.0625,0.0625,15,0.02,0.0004,0.12109375,0.20146128543062342,1.7204130705477345e-05,0.11015191494275367,19.595917942265423,524327.1918358846,False,True
2,16,0.0625,0.0625,15,0.08,0.0064,0.12109375,0.20146128543062342,0.00027526609128763753,0.11079239025797516,19.595917942265423,524327.1918358846,False,True
2,32,0.03125,0.375,20,0.0,0.0,0.609375,0.6370515571631968,0.0,0.0009719799152763456,19.595917942265423,443.73504576107405,False,True
2,32,0.03125,0.375,20,0.02,0.0004,0.609375,0.6370515571631968,5.7081936731636924e-05,0.0010167815770019475,19.595917942265423,443.73504576107405,False,True
2,32,0.03125,0.375,20,0.08,0.0064,0.609375,0.6370515571631968,0.0009133109877061908,0.001688806502886643,19.595917942265423,443.73504576107405,False,True
2,32,0.03125,0.25,24,0.0,0.0,0.4375,0.4680745926949173,0.0,0.002231048334972438,19.595917942265423,2087.191835884531,False,True
2,32,0.03125,0.25,24,0.02,0.0004,0.4375,0.4680745926949173,5.14367271345614e-05,0.002285993345807688,19.595917942265423,2087.191835884531,False,True
2,32,0.03125,0.25,24,0.08,0.0064,0.4375,0.4680745926949173,0.0008229876341529824,0.0031101685083348846,19.595917942265423,2087.191835884531,False,True
2,32,0.03125,0.125,28,0.0,0.0,0.234375,0.2677045892168133,0.0,0.008460322664026354,19.595917942265423,32807.19183588453,False,True
2,32,0.03125,0.125,28,0.02,0.0004,0.234375,0.2677045892168133,3.0082807866731676e-05,0.008516509238852554,19.595917942265423,32807.19183588453,False,True
2,32,0.03125,0.125,28,0.08,0.0064,0.234375,0.2677045892168133,0.0004813249258677068,0.009359307861246668,19.595917942265423,32807.19183588453,False,True
2,32,0.03125,0.0625,30,0.0,0.0,0.12109375,0.1572039250819811,0.0,0.03127605190530636,19.595917942265423,524327.1918358846,False,True
2,32,0.03125,0.0625,30,0.02,0.0004,0.12109375,0.1572039250819811,1.4319083552021079e-05,0.03132159492703612,19.595917942265423,524327.1918358846,False,True
2,32,0.03125,0.0625,30,0.08,0.0064,0.12109375,0.1572039250819811,0.00022910533683233726,0.03200474025298239,19.595917942265423,524327.1918358846,False,True
2,64,0.015625,0.375,40,0.0,0.0,0.609375,0.6230082294719597,0.0,0.00024298206005198345,19.595917942265423,443.73504576107405,False,True
2,64,0.015625,0.375,40,0.02,0.0004,0.609375,0.6230082294719597,5.557416149149703e-05,0.0002875835266639877,19.595917942265423,443.73504576107405,False,True
2,64,0.015625,0.375,40,0.08,0.0064,0.609375,0.6230082294719597,0.0008891865838639524,0.0009566055258429414,19.595917942265423,443.73504576107405,False,True
2,64,0.015625,0.25,48,0.0,0.0,0.4375,0.45246861871120353,0.0,0.0005595893918054276,19.595917942265423,2087.191835884531,False,True
2,64,0.015625,0.25,48,0.02,0.0004,0.4375,0.45246861871120353,4.970510222267234e-05,0.0006145159659005431,19.595917942265423,2087.191835884531,False,True
2,64,0.015625,0.25,48,0.08,0.0064,0.4375,0.45246861871120353,0.0007952816355627575,0.001438414577326609,19.595917942265423,2087.191835884531,False,True
2,64,0.015625,0.125,56,0.0,0.0,0.234375,0.250403617259385,0.0,0.002140563262912565,19.595917942265423,32807.19183588453,False,True
2,64,0.015625,0.125,56,0.02,0.0004,0.234375,0.250403617259385,2.8499816099431695e-05,0.0021974710193007896,19.595917942265423,32807.19183588453,False,True
2,64,0.015625,0.125,56,0.08,0.0064,0.234375,0.250403617259385,0.0004559970575909071,0.003051087365123495,19.595917942265423,32807.19183588453,False,True
2,64,0.015625,0.0625,60,0.0,0.0,0.12109375,0.13794387483638826,0.0,0.008129825740973734,19.595917942265423,524327.1918358846,False,True
2,64,0.015625,0.0625,60,0.02,0.0004,0.12109375,0.13794387483638826,1.309474154219245e-05,0.008177289760516876,19.595917942265423,524327.1918358846,False,True
2,64,0.015625,0.0625,60,0.08,0.0064,0.12109375,0.13794387483638826,0.0002095158646750792,0.008889250053664671,19.595917942265423,524327.1918358846,False,True
2,128,0.0078125,0.375,80,0.0,0.0,0.609375,0.6161402549636528,0.0,6.072574698149161e-05,19.595917942265423,443.73504576107405,False,True
2,128,0.0078125,0.375,80,0.02,0.0004,0.609375,0.6161402549636528,5.483818123034944e-05,0.00010522712535169024,19.595917942265423,443.73504576107405,False,True
2,128,0.0078125,0.375,80,0.08,0.0064,0.609375,0.6161402549636528,0.000877410899685591,0.0007727478009027823,19.595917942265423,443.73504576107405,False,True
2,128,0.0078125,0.25,96,0.0,0.0,0.4375,0.4449043115245995,0.0,0.00014004202460934576,19.595917942265423,2087.191835884531,False,True
2,128,0.0078125,0.25,96,0.02,0.0004,0.4375,0.4449043115245995,4.886634906076676e-05,0.000194959843784117,19.595917942265423,2087.191835884531,False,True
2,128,0.0078125,0.25,96,0.08,0.0064,0.4375,0.4449043115245995,0.0007818615849722681,0.0010187271314056855,19.595917942265423,2087.191835884531,False,True
2,128,0.0078125,0.125,112,0.0,0.0,0.234375,0.24222774541289904,0.0,0.0005371316914062965,19.595917942265423,32807.19183588453,False,True
2,128,0.0078125,0.125,112,0.02,0.0004,0.234375,0.24222774541289904,2.774933754284395e-05,0.0005944111279455114,19.595917942265423,32807.19183588453,False,True
2,128,0.0078125,0.125,112,0.08,0.0064,0.234375,0.24222774541289904,0.0004439894006855032,0.0014536026760341783,19.595917942265423,32807.19183588453,False,True
2,128,0.0078125,0.0625,120,0.0,0.0,0.12109375,0.12920016764401682,0.0,0.00205476070748907,19.595917942265423,524327.1918358846,False,True
2,128,0.0078125,0.0625,120,0.02,0.0004,0.12109375,0.12920016764401682,1.2535825786313253e-05,0.00210327390222749,19.595917942265423,524327.1918358846,False,True
2,128,0.0078125,0.0625,120,0.08,0.0064,0.12109375,0.12920016764401682,0.00020057321258101204,0.002830971823304565,19.595917942265423,524327.1918358846,False,True
2,256,0.00390625,0.375,160,0.0,0.0,0.609375,0.6127447814139303,0.0,1.5177846213544448e-05,19.595917942265423,443.73504576107405,False,True
2,256,0.00390625,0.375,160,0.02,0.0004,0.609375,0.6127447814139303,5.4474610552989135e-05,5.962915139437041e-05,19.595917942265423,443.73504576107405,False,True
2,256,0.00390625,0.375,160,0.08,0.0064,0.609375,0.6127447814139303,0.0008715937688478262,0.0007263987291044284,19.595917942265423,443.73504576107405,False,True
2,256,0.00390625,0.25,192,0.0,0.0,0.4375,0.4411821355433776,0.0,3.5023422956123595e-05,19.595917942265423,2087.191835884531,False,True
2,256,0.00390625,0.25,192,0.02,0.0004,0.4375,0.4411821355433776,4.8453628260736036e-05,8.9936829865786e-05,19.595917942265423,2087.191835884531,False,True
2,256,0.00390625,0.25,192,0.08,0.0064,0.4375,0.4411821355433776,0.0007752580521717766,0.000913637933510833,19.595917942265423,2087.191835884531,False,True
2,256,0.00390625,0.125,224,0.0,0.0,0.234375,0.23826081753354955,0.0,0.0001344571572720922,19.595917942265423,32807.19183588453,False,True
2,256,0.00390625,0.125,224,0.02,0.0004,0.234375,0.23826081753354955,2.738411938253027e-05,0.00019192384370845042,19.595917942265423,32807.19183588453,False,True
2,256,0.00390625,0.125,224,0.08,0.0064,0.234375,0.23826081753354955,0.0004381459101204843,0.0010539241402534906,19.595917942265423,32807.19183588453,False,True
2,256,0.00390625,0.0625,240,0.0,0.0,0.12109375,0.125066038149262,0.0,0.0005153385893722287,19.595917942265423,524327.1918358846,False,True
2,256,0.00390625,0.0625,240,0.02,0.0004,0.12109375,0.125066038149262,1.2269342675867307e-05,0.0005643900459364262,19.595917942265423,524327.1918358846,False,True
2,256,0.00390625,0.0625,240,0.08,0.0064,0.12109375,0.125066038149262,0.0001963094828138769,0.001300161894399278,19.595917942265423,524327.1918358846,False,True
