dimension,half_steps_M,base_h,later_steps_N,total_steps,requested_delta,achieved_delta,relative_delta_error,target_variance,euler_variance,kl_target_to_euler,max_schedule_identity_residual,last_step
8,8,0.0625,11,19,0.25,0.25665615182924506,0.026624607316980242,0.4474399233866936,0.47600326386330905,0.00750330169914723,5.551115123125783e-17,0.01604100948932785
8,8,0.0625,23,31,0.125,0.12399506874691113,0.008039450024710959,0.2326153604202711,0.24729347571667729,0.007337886523255538,5.551115123125783e-17,0.007749691796681946
8,8,0.0625,34,42,0.0625,0.06364819438076974,0.018371110092315845,0.12324529611360724,0.13098492482095397,0.007270628858137368,5.551115123125783e-17,0.003978012148798116
8,8,0.0625,46,54,0.03125,0.03074955414710201,0.016014267292735695,0.06055357321395849,0.06434676021441307,0.007235811101500733,1.5959455978986625e-16,0.0019218471341939658
8,16,0.03125,23,39,0.25,0.24637627711620247,0.014494891535190124,0.4320512843067651,0.44569108433940147,0.00191229056336098,5.551115123125783e-17,0.007699258659881303
8,16,0.03125,45,61,0.125,0.1251963692216319,0.0015709537730552725,0.2347186075769846,0.24208924905198848,0.0018924240990383784,5.551115123125783e-17,0.003912386538176049
8,16,0.03125,68,84,0.0625,0.06169083071458237,0.012946708566682119,0.11957590283490949,0.12332131429491014,0.0018830396336717153,5.551115123125783e-17,0.0019278384598306886
8,16,0.03125,90,106,0.03125,0.031348261732558336,0.0031443754418667424,0.061713809951463694,0.06364460383714841,0.0018787769455813202,5.551115123125783e-17,0.0009796331791424029
8,32,0.015625,45,77,0.25,0.24886727054022106,0.0045309178391157445,0.4357996227343025,0.442644266151551,0.00048320130573257375,5.551115123125783e-17,0.0038885511021909958
8,32,0.015625,89,121,0.125,0.1258053028905961,0.006442423124768837,0.23578363154579762,0.2394767648577023,0.0004806037888386225,5.551115123125783e-17,0.0019657078576655884
8,32,0.015625,134,166,0.0625,0.06261764469973707,0.0018823151957931827,0.12131431997173159,0.1232120893638003,0.0004794006087460445,5.551115123125783e-17,0.000978400698433357
8,32,0.015625,179,211,0.03125,0.03116696464816182,0.002657131258821721,0.061362549610943895,0.06232189268661102,0.000478831046401805,5.551115123125783e-17,0.00048698382262757356
8,64,0.0078125,89,153,0.25,0.25013420631404637,0.0005368252561854803,0.4377012914597348,0.4411297428370225,0.00012143694773034813,5.551115123125783e-17,0.00195417348682847
8,64,0.0078125,178,242,0.125,0.12513424233671588,0.0010739386937270723,0.23460990606824783,0.23644502586105434,0.00012110244073629262,5.551115123125783e-17,0.0009776112682555738
8,64,0.0078125,267,331,0.0625,0.06260070877920798,0.0016113404673276932,0.12128256881875676,0.12223064696175986,0.00012095144545126377,5.551115123125783e-17,0.0004890680373376144
8,64,0.0078125,356,420,0.03125,0.03131715721036821,0.0021490307317826307,0.06165355008499751,0.0621353581133976,0.0001208795398161995,5.551115123125783e-17,0.0002446652907059921
8,128,0.00390625,178,306,0.25,0.24979737879833142,0.0008104848066743386,0.4371960271421458,0.43890604572763087,3.0438160340999845e-05,5.551115123125783e-17,0.000975771010930937
8,128,0.00390625,356,484,0.125,0.1247974609090341,0.0016203127277272245,0.23402051556872627,0.23493521270885784,3.0396074241548915e-05,5.551115123125783e-17,0.0004874900816759231
8,128,0.00390625,533,661,0.0625,0.06259170472071318,0.0014672755314109054,0.12126568794158143,0.12173952151915139,3.0377163435596488e-05,5.551115123125783e-17,0.00024449884656529974
8,128,0.00390625,711,839,0.03125,0.0312704875475065,0.0006556015202079379,0.06156313170355421,0.06180364750128111,3.0368096078434506e-05,5.551115123125783e-17,0.00012215034198248542
64,8,0.0625,11,19,0.25,0.25665615182924506,0.026624607316980242,0.4474399233866936,0.47600326386330905,0.06002641359317784,5.551115123125783e-17,0.01604100948932785
64,8,0.0625,23,31,0.125,0.12399506874691113,0.008039450024710959,0.2326153604202711,0.24729347571667729,0.0587030921860443,5.551115123125783e-17,0.007749691796681946
64,8,0.0625,34,42,0.0625,0.06364819438076974,0.018371110092315845,0.12324529611360724,0.13098492482095397,0.05816503086509894,5.551115123125783e-17,0.003978012148798116
64,8,0.0625,46,54,0.03125,0.03074955414710201,0.016014267292735695,0.06055357321395849,0.06434676021441307,0.057886488812005865,1.5959455978986625e-16,0.0019218471341939658
64,16,0.03125,23,39,0.25,0.24637627711620247,0.014494891535190124,0.4320512843067651,0.44569108433940147,0.01529832450688784,5.551115123125783e-17,0.007699258659881303
64,16,0.03125,45,61,0.125,0.1251963692216319,0.0015709537730552725,0.2347186075769846,0.24208924905198848,0.015139392792307027,5.551115123125783e-17,0.003912386538176049
64,16,0.03125,68,84,0.0625,0.06169083071458237,0.012946708566682119,0.11957590283490949,0.12332131429491014,0.015064317069373723,5.551115123125783e-17,0.0019278384598306886
64,16,0.03125,90,106,0.03125,0.031348261732558336,0.0031443754418667424,0.061713809951463694,0.06364460383714841,0.015030215564650562,5.551115123125783e-17,0.0009796331791424029
64,32,0.015625,45,77,0.25,0.24886727054022106,0.0045309178391157445,0.4357996227343025,0.442644266151551,0.00386561044586059,5.551115123125783e-17,0.0038885511021909958
64,32,0.015625,89,121,0.125,0.1258053028905961,0.006442423124768837,0.23578363154579762,0.2394767648577023,0.00384483031070898,5.551115123125783e-17,0.0019657078576655884
64,32,0.015625,134,166,0.0625,0.06261764469973707,0.0018823151957931827,0.12131431997173159,0.1232120893638003,0.003835204869968356,5.551115123125783e-17,0.000978400698433357
64,32,0.015625,179,211,0.03125,0.03116696464816182,0.002657131258821721,0.061362549610943895,0.06232189268661102,0.00383064837121444,5.551115123125783e-17,0.00048698382262757356
64,64,0.0078125,89,153,0.25,0.25013420631404637,0.0005368252561854803,0.4377012914597348,0.4411297428370225,0.0009714955818427851,5.551115123125783e-17,0.00195417348682847
64,64,0.0078125,178,242,0.125,0.12513424233671588,0.0010739386937270723,0.23460990606824783,0.23644502586105434,0.0009688195258903409,5.551115123125783e-17,0.0009776112682555738
64,64,0.0078125,267,331,0.0625,0.06260070877920798,0.0016113404673276932,0.12128256881875676,0.12223064696175986,0.0009676115636101101,5.551115123125783e-17,0.0004890680373376144
64,64,0.0078125,356,420,0.03125,0.03131715721036821,0.0021490307317826307,0.06165355008499751,0.0621353581133976,0.000967036318529596,5.551115123125783e-17,0.0002446652907059921
64,128,0.00390625,178,306,0.25,0.24979737879833142,0.0008104848066743386,0.4371960271421458,0.43890604572763087,0.00024350528272799876,5.551115123125783e-17,0.000975771010930937
64,128,0.00390625,356,484,0.125,0.1247974609090341,0.0016203127277272245,0.23402051556872627,0.23493521270885784,0.00024316859393239132,5.551115123125783e-17,0.0004874900816759231
64,128,0.00390625,533,661,0.0625,0.06259170472071318,0.0014672755314109054,0.12126568794158143,0.12173952151915139,0.0002430173074847719,5.551115123125783e-17,0.00024449884656529974
64,128,0.00390625,711,839,0.03125,0.0312704875475065,0.0006556015202079379,0.06156313170355421,0.06180364750128111,0.00024294476862747605,5.551115123125783e-17,0.00012215034198248542
256,8,0.0625,11,19,0.25,0.25665615182924506,0.026624607316980242,0.4474399233866936,0.47600326386330905,0.24010565437271136,5.551115123125783e-17,0.01604100948932785
256,8,0.0625,23,31,0.125,0.12399506874691113,0.008039450024710959,0.2326153604202711,0.24729347571667729,0.2348123687441772,5.551115123125783e-17,0.007749691796681946
256,8,0.0625,34,42,0.0625,0.06364819438076974,0.018371110092315845,0.12324529611360724,0.13098492482095397,0.23266012346039577,5.551115123125783e-17,0.003978012148798116
256,8,0.0625,46,54,0.03125,0.03074955414710201,0.016014267292735695,0.06055357321395849,0.06434676021441307,0.23154595524802346,1.5959455978986625e-16,0.0019218471341939658
256,16,0.03125,23,39,0.25,0.24637627711620247,0.014494891535190124,0.4320512843067651,0.44569108433940147,0.06119329802755136,5.551115123125783e-17,0.007699258659881303
256,16,0.03125,45,61,0.125,0.1251963692216319,0.0015709537730552725,0.2347186075769846,0.24208924905198848,0.06055757116922811,5.551115123125783e-17,0.003912386538176049
256,16,0.03125,68,84,0.0625,0.06169083071458237,0.012946708566682119,0.11957590283490949,0.12332131429491014,0.06025726827749489,5.551115123125783e-17,0.0019278384598306886
256,16,0.03125,90,106,0.03125,0.031348261732558336,0.0031443754418667424,0.061713809951463694,0.06364460383714841,0.06012086225860225,5.551115123125783e-17,0.0009796331791424029
256,32,0.015625,45,77,0.25,0.24886727054022106,0.0045309178391157445,0.4357996227343025,0.442644266151551,0.01546244178344236,5.551115123125783e-17,0.0038885511021909958
256,32,0.015625,89,121,0.125,0.1258053028905961,0.006442423124768837,0.23578363154579762,0.2394767648577023,0.01537932124283592,5.551115123125783e-17,0.0019657078576655884
256,32,0.015625,134,166,0.0625,0.06261764469973707,0.0018823151957931827,0.12131431997173159,0.1232120893638003,0.015340819479873424,5.551115123125783e-17,0.000978400698433357
256,32,0.015625,179,211,0.03125,0.03116696464816182,0.002657131258821721,0.061362549610943895,0.06232189268661102,0.01532259348485776,5.551115123125783e-17,0.00048698382262757356
256,64,0.0078125,89,153,0.25,0.25013420631404637,0.0005368252561854803,0.4377012914597348,0.4411297428370225,0.0038859823273711402,5.551115123125783e-17,0.00195417348682847
256,64,0.0078125,178,242,0.125,0.12513424233671588,0.0010739386937270723,0.23460990606824783,0.23644502586105434,0.0038752781035613637,5.551115123125783e-17,0.0009776112682555738
256,64,0.0078125,267,331,0.0625,0.06260070877920798,0.0016113404673276932,0.12128256881875676,0.12223064696175986,0.0038704462544404405,5.551115123125783e-17,0.0004890680373376144
256,64,0.0078125,356,420,0.03125,0.03131715721036821,0.0021490307317826307,0.06165355008499751,0.0621353581133976,0.003868145274118384,5.551115123125783e-17,0.0002446652907059921
256,128,0.00390625,178,306,0.25,0.24979737879833142,0.0008104848066743386,0.4371960271421458,0.43890604572763087,0.000974021130911995,5.551115123125783e-17,0.000975771010930937
256,128,0.00390625,356,484,0.125,0.1247974609090341,0.0016203127277272245,0.23402051556872627,0.23493521270885784,0.0009726743757295653,5.551115123125783e-17,0.0004874900816759231
256,128,0.00390625,533,661,0.0625,0.06259170472071318,0.0014672755314109054,0.12126568794158143,0.12173952151915139,0.0009720692299390876,5.551115123125783e-17,0.00024449884656529974
256,128,0.00390625,711,839,0.03125,0.0312704875475065,0.0006556015202079379,0.06156313170355421,0.06180364750128111,0.0009717790745099042,5.551115123125783e-17,0.00012215034198248542
